NO,K,lon,lat,id,지번주소,도로명주소
52,10,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
53,10,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
54,10,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
55,10,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
56,11,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
57,11,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
58,11,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
59,11,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
60,11,127.0751929,37.49764689,,서울특별시 강남구 대치동 21-21,서울특별시 강남구 남부순환로 3154
61,11,126.9060274,37.57353209,,서울특별시 서대문구 북가좌동 272-1,서울특별시 서대문구 수색로 123
62,11,126.8771776,37.50217699,,서울특별시 구로구 구로동 607-1,서울특별시 구로구 경인로55길 17
63,11,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
64,11,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
65,11,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
66,11,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
67,12,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
68,12,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
69,12,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
70,12,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
71,12,127.0751929,37.49764689,,서울특별시 강남구 대치동 21-21,서울특별시 강남구 남부순환로 3154
72,12,126.9060274,37.57353209,,서울특별시 서대문구 북가좌동 272-1,서울특별시 서대문구 수색로 123
73,12,126.8771776,37.50217699,,서울특별시 구로구 구로동 607-1,서울특별시 구로구 경인로55길 17
74,12,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
75,12,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
76,12,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
77,12,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
78,12,127.0737078,37.55983509,,서울특별시 광진구 중곡동 611-10,서울특별시 광진구 동일로 322
79,13,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
80,13,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
81,13,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
82,13,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
83,13,127.0751929,37.49764689,,서울특별시 강남구 대치동 21-21,서울특별시 강남구 남부순환로 3154
84,13,126.9060274,37.57353209,,서울특별시 서대문구 북가좌동 272-1,서울특별시 서대문구 수색로 123
85,13,126.8771776,37.50217699,,서울특별시 구로구 구로동 607-1,서울특별시 구로구 경인로55길 17
86,13,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
87,13,126.8475203,37.52995871,,서울특별시 강서구 화곡동 898-5,서울특별시 강서구 강서로 21
88,13,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
89,13,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
90,13,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
91,13,127.0737078,37.55983509,,서울특별시 광진구 중곡동 611-10,서울특별시 광진구 동일로 322
92,14,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
93,14,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
94,14,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
95,14,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
96,14,127.0751929,37.49764689,,서울특별시 강남구 대치동 21-21,서울특별시 강남구 남부순환로 3154
97,14,126.9060274,37.57353209,,서울특별시 서대문구 북가좌동 272-1,서울특별시 서대문구 수색로 123
98,14,126.8771776,37.50217699,,서울특별시 구로구 구로동 607-1,서울특별시 구로구 경인로55길 17
99,14,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
100,14,126.8475203,37.52995871,,서울특별시 강서구 화곡동 898-5,서울특별시 강서구 강서로 21
101,14,127.0169049,37.58936078,,서울특별시 성북구 삼선동5가 411,서울특별시 성북구 삼선동5가 보문로 168
102,14,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
103,14,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
104,14,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
105,14,127.0737078,37.55983509,,서울특별시 광진구 중곡동 611-10,서울특별시 광진구 동일로 322
106,15,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
107,15,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
108,15,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
109,15,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
110,15,127.0751929,37.49764689,,서울특별시 강남구 대치동 21-21,서울특별시 강남구 남부순환로 3154
111,15,126.9060274,37.57353209,,서울특별시 서대문구 북가좌동 272-1,서울특별시 서대문구 수색로 123
112,15,126.8771776,37.50217699,,서울특별시 구로구 구로동 607-1,서울특별시 구로구 경인로55길 17
113,15,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
114,15,126.8475203,37.52995871,,서울특별시 강서구 화곡동 898-5,서울특별시 강서구 강서로 21
115,15,127.0169049,37.58936078,,서울특별시 성북구 삼선동5가 411,서울특별시 성북구 삼선동5가 보문로 168
116,15,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
117,15,126.8270683,37.53885739,,서울특별시 양천구 신월동 53-2,서울특별시 양천구 화곡로4길 2
118,15,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
119,15,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
120,15,127.0737078,37.55983509,,서울특별시 광진구 중곡동 611-10,서울특별시 광진구 동일로 322
121,16,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
122,16,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
123,16,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
124,16,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
125,16,127.0751929,37.49764689,,서울특별시 강남구 대치동 21-21,서울특별시 강남구 남부순환로 3154
126,16,126.9060274,37.57353209,,서울특별시 서대문구 북가좌동 272-1,서울특별시 서대문구 수색로 123
127,16,126.8771776,37.50217699,,서울특별시 구로구 구로동 607-1,서울특별시 구로구 경인로55길 17
128,16,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
129,16,126.8475203,37.52995871,,서울특별시 강서구 화곡동 898-5,서울특별시 강서구 강서로 21
130,16,127.0169049,37.58936078,,서울특별시 성북구 삼선동5가 411,서울특별시 성북구 삼선동5가 보문로 168
131,16,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
132,16,126.8270683,37.53885739,,서울특별시 양천구 신월동 53-2,서울특별시 양천구 화곡로4길 2
133,16,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
134,16,126.8316682,37.53077141,,서울특별시 양천구 신월동 808,서울특별시 양천구 남부순환로 412
135,16,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
136,16,127.0737078,37.55983509,,서울특별시 광진구 중곡동 611-10,서울특별시 광진구 동일로 322
137,17,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
138,17,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
139,17,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
140,17,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
141,17,127.0751929,37.49764689,,서울특별시 강남구 대치동 21-21,서울특별시 강남구 남부순환로 3154
142,17,126.9060274,37.57353209,,서울특별시 서대문구 북가좌동 272-1,서울특별시 서대문구 수색로 123
143,17,126.8771776,37.50217699,,서울특별시 구로구 구로동 607-1,서울특별시 구로구 경인로55길 17
144,17,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
145,17,126.8475203,37.52995871,,서울특별시 강서구 화곡동 898-5,서울특별시 강서구 강서로 21
146,17,127.0169049,37.58936078,,서울특별시 성북구 삼선동5가 411,서울특별시 성북구 삼선동5가 보문로 168
147,17,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
148,17,126.8270683,37.53885739,,서울특별시 양천구 신월동 53-2,서울특별시 양천구 화곡로4길 2
149,17,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
150,17,126.8316682,37.53077141,,서울특별시 양천구 신월동 808,서울특별시 양천구 남부순환로 412
151,17,126.8374145,37.52088897,,서울특별시 양천구 신월동 978,서울특별시 양천구 남부순환로 538
152,17,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
153,17,127.0737078,37.55983509,,서울특별시 광진구 중곡동 611-10,서울특별시 광진구 동일로 322
154,18,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
155,18,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
156,18,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
157,18,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
158,18,127.0751929,37.49764689,,서울특별시 강남구 대치동 21-21,서울특별시 강남구 남부순환로 3154
159,18,126.9060274,37.57353209,,서울특별시 서대문구 북가좌동 272-1,서울특별시 서대문구 수색로 123
160,18,126.8771776,37.50217699,,서울특별시 구로구 구로동 607-1,서울특별시 구로구 경인로55길 17
161,18,126.9022103,37.48427922,,서울특별시 구로구 구로동 1123-2,서울특별시 구로구 시흥대로 573
162,18,126.8475203,37.52995871,,서울특별시 강서구 화곡동 898-5,서울특별시 강서구 강서로 21
163,18,127.0169049,37.58936078,,서울특별시 성북구 삼선동5가 411,서울특별시 성북구 삼선동5가 보문로 168
164,18,127.058973,37.56248502,,서울특별시 동대문구 장안동 472-3,서울특별시 동대문구 천호대로 361
165,18,126.8270683,37.53885739,,서울특별시 양천구 신월동 53-2,서울특별시 양천구 화곡로4길 2
166,18,126.8608626,37.55797338,,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 556
167,18,126.8316682,37.53077141,,서울특별시 양천구 신월동 808,서울특별시 양천구 남부순환로 412
168,18,126.8374145,37.52088897,,서울특별시 양천구 신월동 978,서울특별시 양천구 남부순환로 538
169,18,127.1317174,37.50594889,,서울특별시 송파구 오금동 6-2,서울특별시 송파구 마천로 103
170,18,126.8164618,37.58476484,,서울특별시 강서구 방화동 753,서울특별시 강서구 금낭화로26가길 152-186
171,18,127.0737078,37.55983509,,서울특별시 광진구 중곡동 611-10,서울특별시 광진구 동일로 322
172,19,127.1034226,37.50766,,서울특별시 송파구 석촌동 200,서울특별시 송파구 백제고분로39길 40
173,19,127.0668206,37.57603432,,서울특별시 동대문구 답십리동 1-4,서울특별시 동대문구 한천로33길 15
174,19,127.129303,37.53658752,,서울특별시 강동구 성내동 산 18-4,서울특별시 강동구 천호대로 1056
175,19,126.8602541,37.49667843,,서울특별시 구로구 개봉동 170-4,서울특별시 구로구 경인로 364
